Aalts
Aarden
Aarts
Adelaar
Adriaansen
Adriaensdr
Adriaense
Adryaens
Aeije
Aelftrud van Wessex
Aertsz (Heerschop)
Alpaidis
Amalrada
Ansems
Appelman
Arens
Arent
Ariens (Kapteijn)
Ariens Ansems
Arnold
Arts
Aschman
Backer
Barents
Bartels
Bastiaanse
Bastiaense
Bave
Becht
Beekman
Beernink
Beijring
Bekbergen
Bellemans
Belpere
Beourgeois
Berends
Berendse
Bernaards
Bertho
Bezemer
Bierstraten
Bijlsma
Billung
Blaak
Blees
Bleijenberg
Blewanus
Bloemendaal
Blokland
Blom
Blonk
Boddaugh
Boer
Boers
Boeser
Boetet
Bolkesteijn
Booden
Boogaerts
Borman
Bos
Bosch
Boudewijns
Bouhuizen
Bouthoorn
Bouwhuisen
Brandon
Brands
Brandt
Bresse
Breugelensis
Briere
Brievingh
Brisee
Brizee
Broeckx
Broeders
Broek
Broekhoven
Broeshart
Bronder
Brouwer
Bruggeman
Brugman
Bruijne van der Veen
Brumleve
Bruynzeels
Bud
Buijs
Butselaar
Cadefau
Cammel
Cant
Carnotte
Charon
Chevresson
Chotzen
Chrodtrud
Claassen
Claesdr
Claesner
Coenen
Coolen
Coret
Coret-Coredo
Coreth von und zu Coredo und Starkenberg
Cornelisse (Kapteijn)
Cornelissen
Cornelisz (Groote)
Corstiaens
Cosman
Courtier
Dachgelder
Dachgeldt
Dachgelt
David
Dekker
Demmendaal
Dennenberg
Die Bont
Diesbergen
Dijkman
Dircken
Dirksen
Dirven
Doesburg
Doorhof
Doornhem
Dorsman
Doyle
Draaisma
Dries
Drysdale
Dubois
Duivenvoorden
die Bont
die Pelser
die Witte
Eckhardt
Eelman
Eerden
Ehlert
Eijkelboom
Elberts
Elbertse
Ellis
Elsemulder
Elsenaar
Emmen
Engels
Erhout
Ernst
Estey
Everde (Kapteijn)
Everts
Fechant
Feenstra
Feltzer
Ferran
Fiere
Flink
Fortuyn
Frankhuizen
Fredriks
Fremie
Frerichs
Freshour
Friehus
Furda
Galenzone
Galijn
Garret
Geerling
Geerts
Geertsen
Geldens
Gellemeyer
Gemen
Geneart
Genefaas
Gerrits
Gerritse
Gervais
Ghoerle
Giselmeyer
Glasses
Gnodde
Goderts
Goedhart
Goudriaan
Govarts
Goyaerts van Waderle
Greij
Groenendaal
Groenestein
Grondel
Groote
Gruijl
Guit
Haack
Haengreve
Hagendoorn
Hak
Hakker
Haneberg
Hanegraaff
Haring
Haselaar
Hazenveld
Heere
Heerkens
Heerschop
Hehl
Heijman
Heijmans
Heijmen
Heinrichs
Hekker
Hellevoort
Helmerhorst
Hendricks
Hendriks
Hendrikse
Henric van den Nuwenhuse
Heribert van Laon
Hermans
Hexspoor
Heymans
Heyne
Hoedemakers
Hoeks
Hoelen
Hoes
Hollander
Holthuis
Hondeveld
Honing
Hoogers
Hoppenbrouwer
Horrocks
Houdijk
Huberts
Huel
Huijben
Huijbrechts
Huijs
Huijzing
Huisman
Huls
Hulshouts
Hulskes
Hulst
Huurdeman
Jaceps
Jacobi
Jacobs
Jacquot
Jans
Jansdr
Janse
Jansen
Jansen (van Grondelle)
Jansse
Janssen
Janssens
Jasperdr.
Jdotte
Jeggij
Jekel
Jerusalem
Jochems
Jones
Jonkman
Joosten
Jorlink
Jorrisen (de Grond)
Jurrijens
Kallen
Kalman
Kamp
Kamper
Karels
Kas
Kathagen
Keijser
Keijzer
Keltenie
Kerkhof
Ketel
Ketting
Kirpenstein
Kisman
Kleibrink
Kleijse
Klein
Klerks
Kleybrink
Klomp Jan
Kloppert
Knoers
Knuf
Koeman
Kof
Kok
Kolen
Kolster
Konings
Koret
Korsman
Korstman
Kort
Kortman
Kosten
Koster
Krabbe
Kremer
Kriens
Kronenberg
Kruns
Kuijpers
Kuilenburg
Kuit
Kunen
Kwaadland
Labado
Laffray
Lafleur
Lage
Lagerweij
Lambers
Lambregt
Lamore
Lamotte
Langevoort
Lankle
Lansink
Lathrope
Latier
Le Grand
Le Marec
Leene
Leguit
Lelijveld
Lemmens
Lensen
Lether
Levesque
Lieshout
Ligtvoet
Lijn
Lind
Linschoten
Lips
Loep
Lommert
Lonen
Loreal
Lorreijn
Louws
Luboch
Lucas
Luster
Lutterveld
Maas
Maaswinkel
Mahieu
Mallien
Mangel
Manne
Mansveld
Mansvelt
Marceron
Marchal
Marchand
Martel
Martens
Massa
Mater
Mathieu
Mathol
Mathurin
Matthews
Meeres
Meeusen
Meijer
Meis
Melet
Mens
Mercks
Merckx
Merkx
Meyer
Michiels
Michielsen
Middelkoop
Mijsberg
Miltenburg
Miner
Moene(n)
Moensendijk
Moet
Mol
Molegraaf
Molen
Momberg
Mosley
Mudden
Muijs
Mulder
Mulders
Muller
N.
N.N.
Nedermeijer
Nek
Neuteboom
Neuzerling
Niermann
Nieuwstraten
Nihoe
Nijman
Nollee
Noordijk
Oda
Oemencs
Oennen
Olthof
Olykan
Ooms
Oosterhek
Oosterhout
Oostveen
Opmans
Osterhoudt
Otte
Otto
Oude Heer
Ouwel
Ouwerkerk
Overdijk
Overeem
Oversteeg
Paillet
Palman
Pasman
Passchiers
Pastoors
Pauwels
Perck
Perkins
Peronne
Perrono
Persijn
Peterse
Phillipsen
Pierson
Pieters
Pieters van der Maes
Pison
Poncelet
Ponci
Pons
Post
Potters
Pratt
Prinsen
Puig
Punt
Rackham
Rademaker
Ramaker
Recer
Recers
Rehorst
Reijers
Reimes
Rek
Remmers
Ridder
Riem
Rietveld
Rijcken
Rijks
Rijn
Rijntjes
Rippey
Risma
Robbrechts Bruijne
Roessink
Romijn
Roodesteijn
Room
Roose
Roosenboom
Rotteveel
Roukes
Rousselet
Rouwenhorst
Rouwhorst
Rubben
Ruijs
Rutten
Salet
Sam
Sanders
Sarneel
Sas
Saxo
Scardino
Schagen
Schakelaar
Scharroo
Schatteleijn
Scheer
Scheffers
Schellekens
Schelvis
Schenk
Schenkel
Scherms
Schiffer
Schilt
Schokman
Scholten
Schotte
Schrant
Schrik
Schroeff
Schulten
Schuurmans
Schuylenborch
Schwartsbach
Scuylenborchs
Segerszoen
Serra
Sestig
Shupe
Simonis
Simons
Sire
Sitters
Slaetsdochter
Slagmolen
Slingerland
Smit
Smith
Smits
Soos
Spaan
Spanhaak
Speijer
Spier
Spies
Spiker
Spreeuw
Sprong
Spruit
Spruyt
Stamrood
Stange
Steenbakkers
Steenbeek
Steinmeiern
Sterkman
Stettyn
Stichter
Stinis
Stoffel
Stoffelsz
Stook
Strijker
Strik
Stuivenberg
Suijker
Symons
Takkelenburg
Tammerijn
Tamsma
Terry
Teunissen
Texier
Thatcher
The Elder
Thomas
Thout
Tielemans
Tillmanno
Timmerman
Timmermans
Tins
Tirie
Totwiller
Tuithof
Uit de Willigen
Uittenbosch
Ulrich
Unruoch Hunerik
Uphaus
Uphuis
Uphus
Vaessen
Vallenduuk
Van Bragt
Vandenbergh
Vastenhouw
Veenendaal
Vegt
Velderman
Veltman
Verbeeck
Verbeek
Verboom
Verbruggen
Verda
Vergeer
Verhaar
Verhagen
Verharen
Verheij
Verheuvel
Verhoeven
Verkade
Vermeulen
Verschuere
Verschut
Versluijs
Vertoor(e)n
Vervoort
Verwoert
Vial
Vierdag
Vignon
Volcke
Voortman
Vos
Vrancken
Waardeloo
Wagenvoort
Walsteijn
Walter
Waltrade Walderade
Weeldenburg
Weerdenburg
Weijland
Weijters
Welf
Wendt
Wensen (Cremer)
Werdes
Westerbeek
Westerburg
Westermann
Wever
Weyland
Weylant
Wigman
Wijland
Wilcken
Wildschut
Willems
Willems van Lier
Willemsen
Wilmont
Wilson
Winnrich
Winters
Wipstrik
Wolffel
Wolfsdr
Wolfswinkel
Wolters
Wolzak
Wooning
Woudenberg
Wouters
Wouters van Eijndhoven
Woutersz (Hanegraaff)
Wright
Wunderink
Wutke
Zaal
Zeemans
Zeldenrust
Zevenboom
Zijlemans
Zijlmans
Zuidweg
Zuijdveld
Zwart
Zwijsen
